facility_id,facility_name,city,state,zip_code
0b78995f-8b45-34d3-969d-afcc456bb1c7,New Bedford Outpatient Clinic,New Bedford,MA,02740
cb72194a-b1fd-3089-afb6-cb8bb61f4f9c,Plymouth Outreach Clinic,Plymouth,MA,02360
18f774ab-db01-37ba-95c4-44c4eab47089,Quincy Outpatient Clinic,Quincy,MA,02169
37eb7694-de8f-3407-b95f-1a6a31fb0f6a,Springfield Outpatient Clinic,Springfield,MA,01104
d311e70d-86e7-3c03-b115-53892bcf7ef1,Worcester Outpatient Clinic,Worcester,MA,01605
7b50426f-b50b-3d7c-ab22-04a0e1632ac8,Boston Vet Center,Boston,MA,02210
3fbe3da9-8e41-3118-a253-7e2d1b46480f,Brockton Vet Center,Brockton,MA,02301
5b7aa5b4-aa6f-3acc-bd96-01ce774cb614,Lowell Vet Center,Lowell,MA,01852
78dbf052-6958-3c67-af45-b5a450b70fe4,Springfield Vet Center,West Springfield,MA,01089
3a2242e0-de37-303b-bdfc-e160c7eae518,Worcester Vet Center,Worcester,MA,01609
05f449e8-89fc-3204-ac89-2416cc734431,PCP61,BROOKLINE,MA,02446-6499
b7dc82e4-3595-391b-a897-495dd7e5cf38,PCP103,SAUGUS,MA,01906-1980
c72c73fd-0c2a-3579-b732-130984e4883c,PCP376,NORTHBOROUGH,MA,01532-2159
793474a4-7871-382e-8347-2d3f2e024869,TPB ENTERPRISES  INC,FRAMINGHAM,MA,01702-8216
306fcf64-2582-3906-9311-9cc169d058c5,PCP951,BRADFORD,MA,01835-7237
71b6fd75-d5ca-3f0a-a81e-1fc098c63ba2,PCP1090,WATERTOWN,MA,02472-4005
7d1c9185-6194-3fca-8c56-1e2d5ac7ee71,PCP1221,HADLEY,MA,01035-3534
3efb354f-8c7e-3efe-8660-e2eb0fd6a3c5,PCP1345,NORWOOD,MA,02062-5006
4222a451-49b1-3520-b7d0-df9dc2caa033,PCP1530,AMHERST,MA,01002-1738
46d76f18-28be-3225-9d6c-8f9a424775eb,ACTIVE MOTION PHYSICAL THERAPY,WAKEFIELD,MA,01880-3018
51ca6e5b-854a-3935-b829-7b5200e3b4c4,PCP1716,BROOKLINE,MA,02446-4808
674de87d-159a-36bb-96a4-e415aa756ea6,PCP1860,BROOKLINE,MA,02445-1922
1c483ab1-d5b0-3e9e-a9a8-00ff5223d43a,PCP2068,JAMAICA PLAIN,MA,02130-1240
f59a9262-98bf-30b2-9317-6eef39885a34,PCP2209,PEABODY,MA,01960-1521
869ba21d-a974-3260-9752-4d1ba8d12f28,PCP2617,WESTON,MA,02493-1341
da316561-45db-3a0e-b6ff-83b167020597,PCP2662,ORLEANS,MA,02653-1566
ad44968b-257d-36af-8f3c-a682d2a4b30b,PCP2722,HINGHAM,MA,02043-4021
433c8aea-1ab2-374e-a879-7c6fd0d3c4e6,PCP3099,SOMERVILLE,MA,02143-2127
18493754-0bc4-3653-89ba-fced6e9a2a79,PCP3280,TOWNSEND,MA,01469-1300
d303f885-b64a-3c2c-b13f-36a97c2522bf,PCP3324,GROTON,MA,01450-1450
775c7fab-5ca1-3703-ba2d-c297992d97d1,PCP3357,ROCKPORT,MA,01966-1437
d7e1f7b8-5261-3ee6-9d13-3e47f57fa6c2,PCP3579,BROOKLINE,MA,02446-3793
129f29ed-9183-311f-a596-9c762d8cb08c,PCP3741,BILLERICA,MA,01821-5338
36f3b4f2-9e17-3b2b-b080-eab3c7fda7fb,PCP3763,SOUTH DARTMOUTH,MA,02748-3524
41a07ac8-2bc7-36ed-b585-bb5a55882219,PCP3782,WOBURN,MA,01801-1007
0de9633c-54dd-39cb-947c-8ab5ecdf93a2,PCP3874,SHIRLEY,MA,01464-2561
4409e057-3f33-39ab-92a1-54fd9c2f3a3e,DR TED F BUKOWSKI AND ASSOC PC,NORTON,MA,02766-2342
27ea3751-40d6-3fcc-88ad-4b7d0c710a7b,PCP4453,CARVER,MA,02330-1716
ad3a23c5-ee9b-361d-96ee-244364c9b63a,PCP4460,LYNNFIELD,MA,01940-2617
6ab2e1c9-e185-3282-a4e8-d200a6f2b36c,PCP4621,GROVELAND,MA,01834-1229
3adbc956-6e12-324b-bbf9-c297cbc531dc,PCP4890,WAKEFIELD,MA,01880-1281
1d316cdb-fcb8-3b90-a2e4-079a330d344c,PCP5409,BROOKLINE,MA,02446-3793
0d768c74-92f5-367b-bd5c-76d3143e82b7,PCP5481,OXFORD,MA,01540-1728
5b5591ce-ff1f-350c-8e37-c042f93646cb,PCP5628,SAGAMORE BEACH,MA,02562-2367
6fca7f82-5436-395c-b7d5-df9438fb4b2e,PCP5655,YARMOUTH PORT,MA,02675-2159
3eb7fc33-e4cf-3696-9be9-e814a1e472b2,PCP5682,MANSFIELD,MA,02048-2253
c927f41c-0e3e-3997-bed8-bd53534de138,PCP5684,STONEHAM,MA,02180-2023
52cfd6b1-bb25-3447-a32a-3cbb0a7afd79,PCP5813,UPTON,MA,01568-1004
94d65687-ca73-364b-815e-9a82383f686d,PCP5973,SALEM,MA,01970-3625
5941168c-abcf-3a5c-8281-019d64bcd548,PCP6036,HADLEY,MA,01035-9552
d26675bd-9ded-3c92-8e67-d708a500b598,PCP6235,BROOKLINE,MA,02446-3806
48f9895c-222b-3082-ab26-0b5220b07ab4,PCP6451,WEST SPRINGFIELD,MA,01089-3366
6ea37b08-500c-3caf-b600-a7f90785c9fd,PCP6646,READING,MA,01867-3022
735d39d3-d76b-30e0-909d-df29f162c687,PCP7174,LONGMEADOW,MA,01106-1675
9ede8777-9442-3a51-945d-8ccee45acff6,PCP7238,HANSON,MA,02341-1166
80b9b401-87ba-3995-9bc7-99e67b4c8fdf,PCP7243,CAMBRIDGE,MA,02138
f84f441a-9b3d-3fd4-aa87-4931f5362de4,PCP7496,SANDWICH,MA,02563-0537
42151624-e863-3706-8442-472fafbf2226,PCP8034,MARBLEHEAD,MA,01945-2831
d01fb520-993d-306a-beb2-607e18c95517,PCP8522,KINGSTON,MA,02364-1906
98c716c1-1951-39a3-8c5e-fd57ac194208,PCP8861,SOUTH ATTLEBORO,MA,02703-5917
32836213-4ac7-3021-aad8-6383f3ced351,PCP9022,GRAFTON,MA,01536-1614
bf5b8173-2d02-342a-b46e-f7814724d0c0,PCP9942,MILTON,MA,02186-2318
fb547fcc-de51-3431-883e-4338743e4d49,PCP9973,BRAINTREE,MA,02184-5502
